#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.88402082e-01 -7.12873898e-10 1.62725275e-05 2.15760677e-05
1.89959124e-01 -7.23267535e-10 1.64173884e-05 2.18886587e-05
1.91516166e-01 -7.33701307e-10 1.65641408e-05 2.22033720e-05
1.93073208e-01 -7.44175214e-10 1.67128509e-05 2.25201991e-05
1.94630250e-01 -7.54686705e-10 1.68635849e-05 2.28391312e-05
1.96187292e-01 -7.65236127e-10 1.70164086e-05 2.31601595e-05
1.97744334e-01 -7.75821044e-10 1.71713878e-05 2.34832751e-05
1.99301376e-01 -7.86441805e-10 1.73285879e-05 2.38084689e-05
2.00858418e-01 -7.97096437e-10 1.74880741e-05 2.41357319e-05
2.02415460e-01 -8.07784824e-10 1.76499110e-05 2.44650548e-05
2.03972502e-01 -8.18505575e-10 1.78141630e-05 2.47964285e-05
2.05529544e-01 -8.29257645e-10 1.79808937e-05 2.51298434e-05
2.07086586e-01 -8.40039526e-10 1.81501663e-05 2.54652902e-05
2.08643628e-01 -8.50850523e-10 1.83220433e-05 2.58027594e-05
2.10200670e-01 -8.61690056e-10 1.84965864e-05 2.61422412e-05
2.11757712e-01 -8.72556268e-10 1.86738567e-05 2.64837261e-05
2.13314754e-01 -8.83448580e-10 1.88539144e-05 2.68272042e-05
2.14871796e-01 -8.94365831e-10 1.90368188e-05 2.71726657e-05
2.16428838e-01 -9.05307325e-10 1.92226283e-05 2.75201007e-05
2.17985880e-01 -9.16271323e-10 1.94114005e-05 2.78694991e-05
2.19542922e-01 -9.27257709e-10 1.96031917e-05 2.82208508e-05
2.21099964e-01 -9.38264511e-10 1.97980573e-05 2.85741457e-05
2.22657006e-01 -9.49291380e-10 1.99960515e-05 2.89293735e-05
2.24214048e-01 -9.60336460e-10 2.01972275e-05 2.92865239e-05
2.25771090e-01 -9.71399752e-10 2.04016373e-05 2.96455866e-05
2.27328132e-01 -9.82479169e-10 2.06093315e-05 3.00065511e-05
2.28885174e-01 -9.93574360e-10 2.08203595e-05 3.03694068e-05
2.30442216e-01 -1.00468347e-09 2.10347697e-05 3.07341431e-05
2.31999258e-01 -1.01580697e-09 2.12526088e-05 3.11007494e-05
2.33556300e-01 -1.02694241e-09 2.14739224e-05 3.14692150e-05
2.35113342e-01 -1.03808922e-09 2.16987546e-05 3.18395290e-05
2.36670384e-01 -1.04924636e-09 2.19271484e-05 3.22116806e-05
2.38227426e-01 -1.06041254e-09 2.21591451e-05 3.25856588e-05
2.39784468e-01 -1.07158649e-09 2.23947846e-05 3.29614526e-05
2.41341510e-01 -1.08276787e-09 2.26341057e-05 3.33390510e-05
2.42898552e-01 -1.09395470e-09 2.28771455e-05 3.37184428e-05
2.44455594e-01 -1.10514663e-09 2.31239396e-05 3.40996169e-05
2.46012636e-01 -1.11634274e-09 2.33745224e-05 3.44825619e-05
2.47569678e-01 -1.12754094e-09 2.36289267e-05 3.48672666e-05
2.49126720e-01 -1.13874100e-09 2.38871839e-05 3.52537195e-05
2.50683762e-01 -1.14994174e-09 2.41493240e-05 3.56419093e-05
2.52240804e-01 -1.16114191e-09 2.44153754e-05 3.60318245e-05
2.53797846e-01 -1.17234046e-09 2.46853654e-05 3.64234534e-05
2.55354888e-01 -1.18353657e-09 2.49593194e-05 3.68167845e-05
2.56911930e-01 -1.19472897e-09 2.52372619e-05 3.72118060e-05
2.58468972e-01 -1.20591615e-09 2.55192155e-05 3.76085063e-05
2.60026014e-01 -1.21709776e-09 2.58052019e-05 3.80068736e-05
2.61583056e-01 -1.22827229e-09 2.60952410e-05 3.84068960e-05
2.63140098e-01 -1.23943917e-09 2.63893516e-05 3.88085616e-05
2.64697140e-01 -1.25059677e-09 2.66875509e-05 3.92118585e-05
2.66254182e-01 -1.26174427e-09 2.69898552e-05 3.96167747e-05
2.67811224e-01 -1.27288041e-09 2.72962790e-05 4.00232980e-05
2.69368266e-01 -1.28400484e-09 2.76068358e-05 4.04314165e-05
2.70925308e-01 -1.29511557e-09 2.79215378e-05 4.08411178e-05
2.72482350e-01 -1.30621204e-09 2.82403959e-05 4.12523899e-05
2.74039392e-01 -1.31729296e-09 2.85634198e-05 4.16652204e-05
2.75596434e-01 -1.32835707e-09 2.88906179e-05 4.20795970e-05
2.77153477e-01 -1.33940400e-09 2.92219975e-05 4.24955074e-05
2.78710519e-01 -1.35043169e-09 2.95575647e-05 4.29129391e-05
2.80267561e-01 -1.36144023e-09 2.98973245e-05 4.33318796e-05
2.81824603e-01 -1.37242789e-09 3.02412809e-05 4.37523165e-05
2.83381645e-01 -1.38339386e-09 3.05894365e-05 4.41742372e-05
2.84938687e-01 -1.39433686e-09 3.09417930e-05 4.45976290e-05
2.86495729e-01 -1.40525574e-09 3.12983512e-05 4.50224794e-05
2.88052771e-01 -1.41615048e-09 3.16591106e-05 4.54487756e-05
2.89609813e-01 -1.42701855e-09 3.20240699e-05 4.58765049e-05
2.91166855e-01 -1.43785948e-09 3.23932267e-05 4.63056544e-05
2.92723897e-01 -1.44867279e-09 3.27665777e-05 4.67362114e-05
2.94280939e-01 -1.45945665e-09 3.31441187e-05 4.71681630e-05
2.95837981e-01 -1.47021104e-09 3.35258445e-05 4.76014962e-05
2.97395023e-01 -1.48093388e-09 3.39117492e-05 4.80361982e-05
2.98952065e-01 -1.49162470e-09 3.43018258e-05 4.84722557e-05
3.00509107e-01 -1.50228211e-09 3.46960666e-05 4.89096560e-05
3.02066149e-01 -1.51290543e-09 3.50944629e-05 4.93483857e-05
3.03623191e-01 -1.52349348e-09 3.54970056e-05 4.97884319e-05
3.05180233e-01 -1.53404533e-09 3.59036843e-05 5.02297813e-05
3.06737275e-01 -1.54455961e-09 3.63144883e-05 5.06724208e-05
3.08294317e-01 -1.55503653e-09 3.67294058e-05 5.11163371e-05
3.09851359e-01 -1.56547332e-09 3.71484244e-05 5.15615169e-05
3.11408401e-01 -1.57587067e-09 3.75715312e-05 5.20079469e-05
3.12965443e-01 -1.58622626e-09 3.79987123e-05 5.24556137e-05
3.14522485e-01 -1.59653939e-09 3.84299533e-05 5.29045039e-05
3.16079527e-01 -1.60680949e-09 3.88652391e-05 5.33546042e-05
3.17636569e-01 -1.61703551e-09 3.93045539e-05 5.38059010e-05
3.19193611e-01 -1.62721618e-09 3.97478816e-05 5.42583808e-05
3.20750653e-01 -1.63735044e-09 4.01952050e-05 5.47120302e-05
3.22307695e-01 -1.64743727e-09 4.06465066e-05 5.51668355e-05
3.23864737e-01 -1.65747699e-09 4.11017685e-05 5.56227831e-05
3.25421779e-01 -1.66746731e-09 4.15609718e-05 5.60798594e-05
3.26978821e-01 -1.67740704e-09 4.20240974e-05 5.65380508e-05
3.28535863e-01 -1.68729632e-09 4.24911255e-05 5.69973435e-05
3.30092905e-01 -1.69713363e-09 4.29620359e-05 5.74577238e-05
3.31649947e-01 -1.70691828e-09 4.34368078e-05 5.79191780e-05
3.33206989e-01 -1.71664853e-09 4.39154199e-05 5.83816922e-05
3.34764031e-01 -1.72632448e-09 4.43978506e-05 5.88452527e-05
3.36321073e-01 -1.73594488e-09 4.48840776e-05 5.93098456e-05
3.37878115e-01 -1.74550820e-09 4.53740782e-05 5.97754570e-05
3.39435157e-01 -1.75501446e-09 4.58678293e-05 6.02420730e-05
3.40992199e-01 -1.76446248e-09 4.63653073e-05 6.07096797e-05
3.42549241e-01 -1.77385088e-09 4.68664883e-05 6.11782631e-05
3.44106283e-01 -1.78317896e-09 4.73713479e-05 6.16478092e-05
3.45663325e-01 -1.79244649e-09 4.78798613e-05 6.21183041e-05
3.47220367e-01 -1.80165127e-09 4.83920032e-05 6.25897337e-05
3.48777409e-01 -1.81079398e-09 4.89077481e-05 6.30620839e-05
3.50334451e-01 -1.81987278e-09 4.94270700e-05 6.35353407e-05
3.51891493e-01 -1.82888709e-09 4.99499425e-05 6.40094899e-05
3.53448535e-01 -1.83783598e-09 5.04763389e-05 6.44845175e-05
3.55005577e-01 -1.84671804e-09 5.10062321e-05 6.49604092e-05
3.56562619e-01 -1.85553330e-09 5.15395948e-05 6.54371509e-05
3.58119661e-01 -1.86428000e-09 5.20763990e-05 6.59147283e-05
3.59676703e-01 -1.87295803e-09 5.26166169e-05 6.63931274e-05
3.61233745e-01 -1.88156646e-09 5.31602198e-05 6.68723338e-05
3.62790787e-01 -1.89010436e-09 5.37071790e-05 6.73523333e-05
3.64347829e-01 -1.89857151e-09 5.42574656e-05 6.78331116e-05
3.65904871e-01 -1.90696604e-09 5.48110500e-05 6.83146544e-05
3.67461913e-01 -1.91528819e-09 5.53679026e-05 6.87969475e-05
3.69018955e-01 -1.92353586e-09 5.59279934e-05 6.92799764e-05
3.70575997e-01 -1.93170930e-09 5.64912922e-05 6.97637268e-05
3.72133039e-01 -1.93980734e-09 5.70577683e-05 7.02481844e-05
3.73690081e-01 -1.94782987e-09 5.76273909e-05 7.07333348e-05
3.75247123e-01 -1.95577491e-09 5.82001290e-05 7.12191636e-05
3.76804165e-01 -1.96364257e-09 5.87759510e-05 7.17056564e-05
3.78361207e-01 -1.97143206e-09 5.93548254e-05 7.21927987e-05
3.79918249e-01 -1.97914243e-09 5.99367203e-05 7.26805762e-05
3.81475291e-01 -1.98677254e-09 6.05216033e-05 7.31689743e-05
3.83032333e-01 -1.99432237e-09 6.11094422e-05 7.36579787e-05
3.84589375e-01 -2.00179101e-09 6.17002043e-05 7.41475748e-05
3.86146417e-01 -2.00917752e-09 6.22938565e-05 7.46377481e-05
3.87703459e-01 -2.01648190e-09 6.28903658e-05 7.51284843e-05
3.89260501e-01 -2.02370230e-09 6.34896988e-05 7.56197687e-05
3.90817543e-01 -2.03083849e-09 6.40918219e-05 7.61115868e-05
3.92374585e-01 -2.03788988e-09 6.46967011e-05 7.66039241e-05
3.93931627e-01 -2.04485555e-09 6.53043025e-05 7.70967661e-05
3.95488669e-01 -2.05173550e-09 6.59145918e-05 7.75900983e-05
3.97045711e-01 -2.05852902e-09 6.65275343e-05 7.80839060e-05
3.98602753e-01 -2.06523463e-09 6.71430956e-05 7.85781748e-05
4.00159795e-01 -2.07185253e-09 6.77612405e-05 7.90728901e-05
4.01716837e-01 -2.07838159e-09 6.83819340e-05 7.95680372e-05
4.03273879e-01 -2.08482086e-09 6.90051408e-05 8.00636017e-05
4.04830921e-01 -2.09117035e-09 6.96308254e-05 8.05595689e-05
4.06387963e-01 -2.09742924e-09 7.02589520e-05 8.10559243e-05
4.07945005e-01 -2.10359708e-09 7.08894848e-05 8.15526533e-05
4.09502047e-01 -2.10967339e-09 7.15223877e-05 8.20497413e-05
4.11059089e-01 -2.11565749e-09 7.21576244e-05 8.25471736e-05
4.12616131e-01 -2.12154832e-09 7.27951585e-05 8.30449358e-05
4.14173173e-01 -2.12734589e-09 7.34349534e-05 8.35430132e-05
4.15730215e-01 -2.13304974e-09 7.40769723e-05 8.40413912e-05
4.17287257e-01 -2.13865846e-09 7.47211782e-05 8.45400552e-05
4.18844299e-01 -2.14417207e-09 7.53675341e-05 8.50389907e-05
4.20401341e-01 -2.14959056e-09 7.60160027e-05 8.55381830e-05
4.21958383e-01 -2.15491254e-09 7.66665465e-05 8.60376175e-05
4.23515425e-01 -2.16013778e-09 7.73191280e-05 8.65372797e-05
4.25072467e-01 -2.16526604e-09 7.79737094e-05 8.70371550e-05
4.26629509e-01 -2.17029664e-09 7.86302529e-05 8.75372287e-05
4.28186551e-01 -2.17522910e-09 7.92887204e-05 8.80374863e-05
4.29743593e-01 -2.18006284e-09 7.99490738e-05 8.85379133e-05
4.31300635e-01 -2.18479741e-09 8.06112748e-05 8.90384950e-05
4.32857677e-01 -2.18943315e-09 8.12752849e-05 8.95392168e-05
4.34414719e-01 -2.19396831e-09 8.19410656e-05 9.00400644e-05
4.35971761e-01 -2.19840326e-09 8.26085782e-05 9.05410230e-05
4.37528803e-01 -2.20273798e-09 8.32777839e-05 9.10420781e-05
4.39085845e-01 -2.20697097e-09 8.39486438e-05 9.15432152e-05
4.40642887e-01 -2.21110212e-09 8.46211187e-05 9.20444198e-05
4.42199929e-01 -2.21513142e-09 8.52951696e-05 9.25456773e-05
4.43756971e-01 -2.21905841e-09 8.59707572e-05 9.30469733e-05
4.45314013e-01 -2.22288309e-09 8.66478420e-05 9.35482932e-05
4.46871055e-01 -2.22660395e-09 8.73263847e-05 9.40496226e-05
4.48428097e-01 -2.23022088e-09 8.80063455e-05 9.45509469e-05
4.49985139e-01 -2.23373515e-09 8.86876849e-05 9.50522518e-05
4.51542181e-01 -2.23714456e-09 8.93703630e-05 9.55535227e-05
4.53099223e-01 -2.24044957e-09 9.00543400e-05 9.60547452e-05
4.54656265e-01 -2.24364949e-09 9.07395759e-05 9.65559049e-05
4.56213307e-01 -2.24674431e-09 9.14260306e-05 9.70569874e-05
4.57770349e-01 -2.24973404e-09 9.21136642e-05 9.75579783e-05
4.59327391e-01 -2.25261797e-09 9.28024363e-05 9.80588632e-05
4.60884433e-01 -2.25539600e-09 9.34923066e-05 9.85596277e-05
4.62441475e-01 -2.25806778e-09 9.41832349e-05 9.90602576e-05
4.63998517e-01 -2.26063249e-09 9.48751807e-05 9.95607383e-05
4.65555559e-01 -2.26309142e-09 9.55681036e-05 1.00061056e-04
4.67112601e-01 -2.26544246e-09 9.62619630e-05 1.00561196e-04
4.68669643e-01 -2.26768667e-09 9.69567182e-05 1.01061144e-04
4.70226685e-01 -2.26982347e-09 9.76523287e-05 1.01560885e-04
4.71783727e-01 -2.27185250e-09 9.83487538e-05 1.02060407e-04
4.73340769e-01 -2.27377389e-09 9.90459527e-05 1.02559693e-04
4.74897811e-01 -2.27558717e-09 9.97438845e-05 1.03058731e-04
4.76454853e-01 -2.27729222e-09 1.00442509e-04 1.03557506e-04
4.78011895e-01 -2.27888893e-09 1.01141784e-04 1.04056004e-04
4.79568937e-01 -2.28037706e-09 1.01841670e-04 1.04554210e-04
4.81125979e-01 -2.28175616e-09 1.02542125e-04 1.05052112e-04
4.82683021e-01 -2.28302657e-09 1.03243108e-04 1.05549693e-04
4.84240063e-01 -2.28418864e-09 1.03944580e-04 1.06046942e-04
4.85797105e-01 -2.28524120e-09 1.04646497e-04 1.06543843e-04
4.87354147e-01 -2.28618496e-09 1.05348820e-04 1.07040382e-04
4.88911189e-01 -2.28701933e-09 1.06051508e-04 1.07536546e-04
4.90468231e-01 -2.28774432e-09 1.06754519e-04 1.08032320e-04
4.92025273e-01 -2.28836015e-09 1.07457812e-04 1.08527691e-04
4.93582315e-01 -2.28886683e-09 1.08161346e-04 1.09022645e-04
4.95139357e-01 -2.28926331e-09 1.08865081e-04 1.09517168e-04
4.96696399e-01 -2.28955098e-09 1.09568974e-04 1.10011246e-04
4.98253441e-01 -2.28972892e-09 1.10272986e-04 1.10504865e-04
4.99810483e-01 -2.28979713e-09 1.10977074e-04 1.10998012e-04
5.01367525e-01 -2.28975549e-09 1.11681199e-04 1.11490673e-04
5.02924567e-01 -2.28960527e-09 1.12385319e-04 1.11982834e-04
5.04481609e-01 -2.28934474e-09 1.13089392e-04 1.12474481e-04
5.06038651e-01 -2.28897517e-09 1.13793379e-04 1.12965601e-04
5.07595693e-01 -2.28849587e-09 1.14497237e-04 1.13456180e-04
5.09152735e-01 -2.28790753e-09 1.15200927e-04 1.13946205e-04
5.10709777e-01 -2.28720945e-09 1.15904407e-04 1.14435662e-04
5.12266819e-01 -2.28640199e-09 1.16607636e-04 1.14924537e-04
5.13823861e-01 -2.28548526e-09 1.17310574e-04 1.15412818e-04
5.15380903e-01 -2.28445961e-09 1.18013180e-04 1.15900491e-04
5.16937945e-01 -2.28332468e-09 1.18715413e-04 1.16387541e-04
5.18494987e-01 -2.28208096e-09 1.19417233e-04 1.16873957e-04
5.20052029e-01 -2.28072865e-09 1.20118598e-04 1.17359725e-04
5.21609071e-01 -2.27926754e-09 1.20819469e-04 1.17844831e-04
5.23166113e-01 -2.27769809e-09 1.21519804e-04 1.18329262e-04
5.24723155e-01 -2.27602007e-09 1.22219564e-04 1.18813005e-04
5.26280197e-01 -2.27423394e-09 1.22918708e-04 1.19296048e-04
5.27837239e-01 -2.27233946e-09 1.23617196e-04 1.19778376e-04
5.29394281e-01 -2.27033734e-09 1.24314988e-04 1.20259976e-04
5.30951323e-01 -2.26822780e-09 1.25012043e-04 1.20740837e-04
