#	Time	Error_of_Energy	Error_of_Position
2.45606555e+00 1.00155138e-03 7.62650981e-04
2.46613139e+00 1.00154143e-03 7.64215954e-04
2.47619724e+00 1.00153163e-03 7.65778195e-04
2.48626308e+00 1.00152198e-03 7.67337533e-04
2.49632892e+00 1.00151248e-03 7.68892824e-04
2.50639476e+00 1.00150312e-03 7.70442146e-04
2.51646061e+00 1.00149390e-03 7.71985750e-04
2.52652645e+00 1.00148482e-03 7.73525537e-04
2.53659229e+00 1.00147587e-03 7.75062590e-04
2.54665813e+00 1.00146706e-03 7.76597106e-04
2.55672397e+00 1.00145837e-03 7.78128396e-04
2.56678982e+00 1.00144982e-03 7.79654891e-04
2.57685566e+00 1.00144139e-03 7.81175268e-04
2.58692150e+00 1.00143308e-03 7.82691068e-04
2.59698734e+00 1.00142489e-03 7.84203790e-04
2.60705319e+00 1.00141682e-03 7.85714125e-04
2.61711903e+00 1.00140887e-03 7.87221965e-04
2.62718487e+00 1.00140103e-03 7.88726400e-04
2.63725071e+00 1.00139330e-03 7.90225749e-04
2.64731656e+00 1.00138568e-03 7.91719357e-04
2.65738240e+00 1.00137817e-03 7.93208932e-04
2.66744824e+00 1.00137077e-03 7.94695756e-04
2.67751408e+00 1.00136347e-03 7.96180383e-04
2.68757993e+00 1.00135628e-03 7.97662643e-04
2.69764577e+00 1.00134918e-03 7.99141644e-04
2.70771161e+00 1.00134219e-03 8.00615787e-04
2.71777745e+00 1.00133529e-03 8.02084360e-04
2.72784330e+00 1.00132849e-03 8.03548966e-04
2.73790914e+00 1.00132178e-03 8.05010877e-04
2.74797498e+00 1.00131516e-03 8.06470707e-04
2.75804082e+00 1.00130863e-03 8.07928418e-04
2.76810667e+00 1.00130220e-03 8.09383315e-04
2.77817251e+00 1.00129585e-03 8.10834057e-04
2.78823835e+00 1.00128958e-03 8.12279314e-04
2.79830419e+00 1.00128340e-03 8.13720214e-04
2.80837004e+00 1.00127731e-03 8.15158176e-04
2.81843588e+00 1.00127129e-03 8.16594028e-04
2.82850172e+00 1.00126536e-03 8.18028007e-04
2.83856756e+00 1.00125950e-03 8.19459759e-04
2.84863341e+00 1.00125373e-03 8.20888343e-04
2.85869925e+00 1.00124803e-03 8.22312259e-04
2.86876509e+00 1.00124240e-03 8.23731072e-04
2.87883093e+00 1.00123685e-03 8.25146264e-04
2.88889677e+00 1.00123137e-03 8.26558990e-04
2.89896262e+00 1.00122596e-03 8.27969867e-04
2.90902846e+00 1.00122063e-03 8.29378983e-04
2.91909430e+00 1.00121536e-03 8.30785894e-04
2.92916014e+00 1.00121016e-03 8.32189624e-04
2.93922599e+00 1.00120502e-03 8.33588727e-04
2.94929183e+00 1.00119996e-03 8.34982996e-04
2.95935767e+00 1.00119495e-03 8.36373863e-04
2.96942351e+00 1.00119001e-03 8.37762403e-04
2.97948936e+00 1.00118514e-03 8.39149212e-04
2.98955520e+00 1.00118032e-03 8.40534407e-04
2.99962104e+00 1.00117557e-03 8.41917625e-04
3.00968688e+00 1.00117088e-03 8.43298028e-04
3.01975273e+00 1.00116624e-03 8.44674308e-04
3.02981857e+00 1.00116166e-03 8.46045728e-04
3.03988441e+00 1.00115714e-03 8.47413525e-04
3.04995025e+00 1.00115268e-03 8.48778847e-04
3.06001610e+00 1.00114827e-03 8.50142407e-04
3.07008194e+00 1.00114392e-03 8.51504487e-04
3.08014778e+00 1.00113961e-03 8.52864942e-04
3.09021362e+00 1.00113537e-03 8.54223195e-04
3.10027947e+00 1.00113117e-03 8.55578243e-04
3.11034531e+00 1.00112702e-03 8.56928785e-04
3.12041115e+00 1.00112293e-03 8.58275029e-04
3.13047699e+00 1.00111888e-03 8.59618263e-04
3.14054284e+00 1.00111489e-03 8.60959427e-04
3.15060868e+00 1.00111094e-03 8.62299071e-04
3.16067452e+00 1.00110703e-03 8.63637358e-04
3.17074036e+00 1.00110318e-03 8.64974068e-04
3.18080621e+00 1.00109937e-03 8.66308594e-04
3.19087205e+00 1.00109561e-03 8.67639947e-04
