#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
2.61212267e-01 -1.78346072e-09 7.53678157e-05 1.02309749e-04
2.63630900e-01 -1.80870306e-09 7.66764258e-05 1.03589416e-04
2.66049532e-01 -1.83391182e-09 7.79970818e-05 1.04875264e-04
2.68468164e-01 -1.85908199e-09 7.93297431e-05 1.06167250e-04
2.70886796e-01 -1.88420755e-09 8.06743668e-05 1.07465327e-04
2.73305428e-01 -1.90928247e-09 8.20309076e-05 1.08769449e-04
2.75724060e-01 -1.93430150e-09 8.33993182e-05 1.10079569e-04
2.78142692e-01 -1.95925874e-09 8.47795490e-05 1.11395638e-04
2.80561324e-01 -1.98414803e-09 8.61715482e-05 1.12717607e-04
2.82979956e-01 -2.00896373e-09 8.75752616e-05 1.14045424e-04
2.85398589e-01 -2.03370047e-09 8.89906330e-05 1.15379037e-04
2.87817221e-01 -2.05835259e-09 9.04176040e-05 1.16718394e-04
2.90235853e-01 -2.08291370e-09 9.18561137e-05 1.18063441e-04
2.92654485e-01 -2.10737865e-09 9.33060993e-05 1.19414123e-04
2.95073117e-01 -2.13174182e-09 9.47674956e-05 1.20770384e-04
2.97491749e-01 -2.15599756e-09 9.62402353e-05 1.22132167e-04
2.99910381e-01 -2.18013997e-09 9.77242488e-05 1.23499414e-04
3.02329013e-01 -2.20416367e-09 9.92194644e-05 1.24872068e-04
3.04747645e-01 -2.22806354e-09 1.00725808e-04 1.26250068e-04
3.07166277e-01 -2.25183276e-09 1.02243204e-04 1.27633355e-04
3.09584910e-01 -2.27546713e-09 1.03771573e-04 1.29021866e-04
3.12003542e-01 -2.29896073e-09 1.05310836e-04 1.30415541e-04
3.14422174e-01 -2.32230819e-09 1.06860909e-04 1.31814315e-04
3.16840806e-01 -2.34550399e-09 1.08421708e-04 1.33218127e-04
3.19259438e-01 -2.36854327e-09 1.09993145e-04 1.34626910e-04
3.21678070e-01 -2.39142024e-09 1.11575133e-04 1.36040601e-04
3.24096702e-01 -2.41412941e-09 1.13167579e-04 1.37459132e-04
3.26515334e-01 -2.43666627e-09 1.14770390e-04 1.38882439e-04
3.28933966e-01 -2.45902469e-09 1.16383471e-04 1.40310453e-04
3.31352599e-01 -2.48120004e-09 1.18006724e-04 1.41743106e-04
3.33771231e-01 -2.50318745e-09 1.19640051e-04 1.43180330e-04
3.36189863e-01 -2.52498128e-09 1.21283348e-04 1.44622055e-04
3.38608495e-01 -2.54657718e-09 1.22936512e-04 1.46068212e-04
3.41027127e-01 -2.56796950e-09 1.24599438e-04 1.47518731e-04
3.43445759e-01 -2.58915362e-09 1.26272019e-04 1.48973539e-04
3.45864391e-01 -2.61012417e-09 1.27954143e-04 1.50432565e-04
3.48283023e-01 -2.63087743e-09 1.29645700e-04 1.51895738e-04
3.50701655e-01 -2.65140736e-09 1.31346575e-04 1.53362983e-04
3.53120288e-01 -2.67171000e-09 1.33056654e-04 1.54834229e-04
3.55538920e-01 -2.69178035e-09 1.34775818e-04 1.56309400e-04
3.57957552e-01 -2.71161404e-09 1.36503949e-04 1.57788423e-04
3.60376184e-01 -2.73120621e-09 1.38240924e-04 1.59271222e-04
3.62794816e-01 -2.75055250e-09 1.39986620e-04 1.60757723e-04
3.65213448e-01 -2.76964803e-09 1.41740913e-04 1.62247850e-04
3.67632080e-01 -2.78848922e-09 1.43503676e-04 1.63741526e-04
3.70050712e-01 -2.80707093e-09 1.45274779e-04 1.65238674e-04
3.72469344e-01 -2.82538933e-09 1.47054092e-04 1.66739218e-04
3.74887976e-01 -2.84343980e-09 1.48841483e-04 1.68243081e-04
3.77306609e-01 -2.86121849e-09 1.50636818e-04 1.69750183e-04
3.79725241e-01 -2.87872168e-09 1.52439961e-04 1.71260448e-04
3.82143873e-01 -2.89594437e-09 1.54250775e-04 1.72773796e-04
3.84562505e-01 -2.91288337e-09 1.56069121e-04 1.74290148e-04
3.86981137e-01 -2.92953392e-09 1.57894857e-04 1.75809426e-04
3.89399769e-01 -2.94589333e-09 1.59727842e-04 1.77331550e-04
3.91818401e-01 -2.96195737e-09 1.61567931e-04 1.78856439e-04
3.94237033e-01 -2.97772208e-09 1.63414980e-04 1.80384014e-04
3.96655665e-01 -2.99318347e-09 1.65268841e-04 1.81914194e-04
3.99074298e-01 -3.00833846e-09 1.67129365e-04 1.83446899e-04
4.01492930e-01 -3.02318374e-09 1.68996403e-04 1.84982048e-04
4.03911562e-01 -3.03771569e-09 1.70869803e-04 1.86519559e-04
4.06330194e-01 -3.05193087e-09 1.72749412e-04 1.88059352e-04
4.08748826e-01 -3.06582607e-09 1.74635076e-04 1.89601344e-04
4.11167458e-01 -3.07939809e-09 1.76526639e-04 1.91145454e-04
4.13586090e-01 -3.09264371e-09 1.78423945e-04 1.92691600e-04
4.16004722e-01 -3.10556000e-09 1.80326834e-04 1.94239699e-04
4.18423354e-01 -3.11814386e-09 1.82235149e-04 1.95789671e-04
4.20841986e-01 -3.13039275e-09 1.84148727e-04 1.97341431e-04
4.23260619e-01 -3.14230281e-09 1.86067407e-04 1.98894898e-04
4.25679251e-01 -3.15387277e-09 1.87991026e-04 2.00449989e-04
4.28097883e-01 -3.16509864e-09 1.89919420e-04 2.02006622e-04
4.30516515e-01 -3.17597902e-09 1.91852422e-04 2.03564712e-04
4.32935147e-01 -3.18651006e-09 1.93789867e-04 2.05124179e-04
4.35353779e-01 -3.19669061e-09 1.95731588e-04 2.06684938e-04
4.37772411e-01 -3.20651720e-09 1.97677415e-04 2.08246906e-04
4.40191043e-01 -3.21598856e-09 1.99627180e-04 2.09810002e-04
4.42609675e-01 -3.22510187e-09 2.01580712e-04 2.11374140e-04
4.45028308e-01 -3.23385481e-09 2.03537839e-04 2.12939239e-04
4.47446940e-01 -3.24224636e-09 2.05498390e-04 2.14505216e-04
4.49865572e-01 -3.25027358e-09 2.07462192e-04 2.16071986e-04
4.52284204e-01 -3.25793569e-09 2.09429070e-04 2.17639468e-04
4.54702836e-01 -3.26522949e-09 2.11398851e-04 2.19207578e-04
4.57121468e-01 -3.27215459e-09 2.13371359e-04 2.20776232e-04
4.59540100e-01 -3.27870856e-09 2.15346418e-04 2.22345350e-04
4.61958732e-01 -3.28488986e-09 2.17323852e-04 2.23914846e-04
4.64377364e-01 -3.29069784e-09 2.19303484e-04 2.25484639e-04
4.66795996e-01 -3.29613085e-09 2.21285135e-04 2.27054646e-04
4.69214629e-01 -3.30118748e-09 2.23268628e-04 2.28624785e-04
4.71633261e-01 -3.30586643e-09 2.25253784e-04 2.30194972e-04
4.74051893e-01 -3.31016682e-09 2.27240424e-04 2.31765126e-04
4.76470525e-01 -3.31408774e-09 2.29228367e-04 2.33335164e-04
4.78889157e-01 -3.31762778e-09 2.31217435e-04 2.34905005e-04
4.81307789e-01 -3.32078683e-09 2.33207446e-04 2.36474566e-04
4.83726421e-01 -3.32356358e-09 2.35198220e-04 2.38043766e-04
4.86145053e-01 -3.32595780e-09 2.37189576e-04 2.39612523e-04
4.88563685e-01 -3.32796858e-09 2.39181334e-04 2.41180756e-04
4.90982318e-01 -3.32959541e-09 2.41173311e-04 2.42748384e-04
4.93400950e-01 -3.33083879e-09 2.43165326e-04 2.44315325e-04
4.95819582e-01 -3.33169797e-09 2.45157197e-04 2.45881500e-04
4.98238214e-01 -3.33217141e-09 2.47148744e-04 2.47446828e-04
5.00656846e-01 -3.33226089e-09 2.49139783e-04 2.49011229e-04
5.03075478e-01 -3.33196591e-09 2.51130135e-04 2.50574622e-04
5.05494110e-01 -3.33128569e-09 2.53119616e-04 2.52136929e-04
5.07912742e-01 -3.33022127e-09 2.55108045e-04 2.53698069e-04
5.10331374e-01 -3.32877251e-09 2.57095242e-04 2.55257964e-04
5.12750007e-01 -3.32693992e-09 2.59081024e-04 2.56816535e-04
5.15168639e-01 -3.32472377e-09 2.61065211e-04 2.58373703e-04
5.17587271e-01 -3.32212521e-09 2.63047622e-04 2.59929391e-04
5.20005903e-01 -3.31914385e-09 2.65028076e-04 2.61483521e-04
5.22424535e-01 -3.31578097e-09 2.67006393e-04 2.63036015e-04
5.24843167e-01 -3.31203670e-09 2.68982394e-04 2.64586796e-04
5.27261799e-01 -3.30791272e-09 2.70955898e-04 2.66135788e-04
5.29680431e-01 -3.30340965e-09 2.72926728e-04 2.67682914e-04
5.32099063e-01 -3.29852815e-09 2.74894703e-04 2.69228099e-04
5.34517695e-01 -3.29327051e-09 2.76859648e-04 2.70771266e-04
5.36936328e-01 -3.28763674e-09 2.78821383e-04 2.72312341e-04
5.39354960e-01 -3.28162851e-09 2.80779732e-04 2.73851250e-04
5.41773592e-01 -3.27524710e-09 2.82734520e-04 2.75387917e-04
5.44192224e-01 -3.26849429e-09 2.84685569e-04 2.76922270e-04
5.46610856e-01 -3.26137177e-09 2.86632707e-04 2.78454234e-04
5.49029488e-01 -3.25388093e-09 2.88575758e-04 2.79983737e-04
5.51448120e-01 -3.24602332e-09 2.90514549e-04 2.81510707e-04
5.53866752e-01 -3.23780022e-09 2.92448909e-04 2.83035072e-04
5.56285384e-01 -3.22921470e-09 2.94378664e-04 2.84556760e-04
5.58704017e-01 -3.22026908e-09 2.96303646e-04 2.86075701e-04
5.61122649e-01 -3.21096361e-09 2.98223683e-04 2.87591824e-04
5.63541281e-01 -3.20130174e-09 3.00138608e-04 2.89105059e-04
5.65959913e-01 -3.19128542e-09 3.02048253e-04 2.90615336e-04
5.68378545e-01 -3.18091693e-09 3.03952450e-04 2.92122589e-04
5.70797177e-01 -3.17019846e-09 3.05851035e-04 2.93626747e-04
5.73215809e-01 -3.15913297e-09 3.07743842e-04 2.95127743e-04
5.75634441e-01 -3.14772275e-09 3.09630709e-04 2.96625511e-04
5.78053073e-01 -3.13596998e-09 3.11511474e-04 2.98119984e-04
5.80471705e-01 -3.12387852e-09 3.13385976e-04 2.99611096e-04
5.82890338e-01 -3.11144965e-09 3.15254055e-04 3.01098781e-04
5.85308970e-01 -3.09868746e-09 3.17115553e-04 3.02582976e-04
5.87727602e-01 -3.08559490e-09 3.18970313e-04 3.04063616e-04
5.90146234e-01 -3.07217416e-09 3.20818180e-04 3.05540637e-04
5.92564866e-01 -3.05842908e-09 3.22659000e-04 3.07013978e-04
5.94983498e-01 -3.04436197e-09 3.24492619e-04 3.08483576e-04
5.97402130e-01 -3.02997679e-09 3.26318887e-04 3.09949369e-04
5.99820762e-01 -3.01527664e-09 3.28137654e-04 3.11411297e-04
6.02239394e-01 -3.00026510e-09 3.29948772e-04 3.12869300e-04
6.04658027e-01 -2.98494601e-09 3.31752095e-04 3.14323318e-04
6.07076659e-01 -2.96932181e-09 3.33547478e-04 3.15773293e-04
6.09495291e-01 -2.95339660e-09 3.35334777e-04 3.17219167e-04
6.11913923e-01 -2.93717423e-09 3.37113850e-04 3.18660883e-04
6.14332555e-01 -2.92065854e-09 3.38884559e-04 3.20098383e-04
6.16751187e-01 -2.90385262e-09 3.40646765e-04 3.21531614e-04
6.19169819e-01 -2.88676171e-09 3.42400332e-04 3.22960519e-04
6.21588451e-01 -2.86938826e-09 3.44145125e-04 3.24385044e-04
6.24007083e-01 -2.85173700e-09 3.45881011e-04 3.25805136e-04
6.26425716e-01 -2.83381242e-09 3.47607861e-04 3.27220742e-04
6.28844348e-01 -2.81561786e-09 3.49325544e-04 3.28631811e-04
6.31262980e-01 -2.79715780e-09 3.51033934e-04 3.30038290e-04
6.33681612e-01 -2.77843699e-09 3.52732906e-04 3.31440131e-04
6.36100244e-01 -2.75945876e-09 3.54422337e-04 3.32837283e-04
6.38518876e-01 -2.74022862e-09 3.56102107e-04 3.34229698e-04
6.40937508e-01 -2.72075004e-09 3.57772095e-04 3.35617328e-04
6.43356140e-01 -2.70102826e-09 3.59432186e-04 3.37000126e-04
6.45774772e-01 -2.68106714e-09 3.61082264e-04 3.38378045e-04
6.48193404e-01 -2.66087193e-09 3.62722216e-04 3.39751042e-04
6.50612037e-01 -2.64044673e-09 3.64351934e-04 3.41119070e-04
6.53030669e-01 -2.61979642e-09 3.65971307e-04 3.42482088e-04
6.55449301e-01 -2.59892650e-09 3.67580230e-04 3.43840051e-04
6.57867933e-01 -2.57784071e-09 3.69178599e-04 3.45192919e-04
6.60286565e-01 -2.55654479e-09 3.70766312e-04 3.46540650e-04
6.62705197e-01 -2.53504325e-09 3.72343270e-04 3.47883205e-04
6.65123829e-01 -2.51334069e-09 3.73909376e-04 3.49220544e-04
6.67542461e-01 -2.49144238e-09 3.75464535e-04 3.50552629e-04
6.69961093e-01 -2.46935382e-09 3.77008655e-04 3.51879424e-04
6.72379726e-01 -2.44707976e-09 3.78541646e-04 3.53200892e-04
