#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
7.25589632e-01 3.28509907e-09 1.26879436e-07 1.14226575e-07
7.30426896e-01 3.30699995e-09 1.27701554e-07 1.14974699e-07
7.35264160e-01 3.32890045e-09 1.28502296e-07 1.15713713e-07
7.40101424e-01 3.35080068e-09 1.29281552e-07 1.16443577e-07
7.44938689e-01 3.37270156e-09 1.30039230e-07 1.17164257e-07
7.49775953e-01 3.39460218e-09 1.30775261e-07 1.17875728e-07
7.54613217e-01 3.41650281e-09 1.31489593e-07 1.18577970e-07
7.59450481e-01 3.43840317e-09 1.32182196e-07 1.19270972e-07
7.64287746e-01 3.46030418e-09 1.32853059e-07 1.19954727e-07
7.69125010e-01 3.48220493e-09 1.33502195e-07 1.20629243e-07
7.73962274e-01 3.50410568e-09 1.34129636e-07 1.21294528e-07
7.78799538e-01 3.52600579e-09 1.34735431e-07 1.21950602e-07
7.83636802e-01 3.54790667e-09 1.35319653e-07 1.22597490e-07
7.88474067e-01 3.56980742e-09 1.35882396e-07 1.23235230e-07
7.93311331e-01 3.59170830e-09 1.36423773e-07 1.23863861e-07
7.98148595e-01 3.61360840e-09 1.36943916e-07 1.24483436e-07
8.02985859e-01 3.63550941e-09 1.37442982e-07 1.25094013e-07
8.07823123e-01 3.65741016e-09 1.37921141e-07 1.25695658e-07
8.12660388e-01 3.67931066e-09 1.38378591e-07 1.26288448e-07
8.17497652e-01 3.70121141e-09 1.38815544e-07 1.26872466e-07
8.22334916e-01 3.72311228e-09 1.39232237e-07 1.27447804e-07
8.27172180e-01 3.74501291e-09 1.39628920e-07 1.28014560e-07
8.32009445e-01 3.76691353e-09 1.40005868e-07 1.28572846e-07
8.36846709e-01 3.78881389e-09 1.40363376e-07 1.29122779e-07
8.41683973e-01 3.81071477e-09 1.40701753e-07 1.29664482e-07
8.46521237e-01 3.83261539e-09 1.41021332e-07 1.30198093e-07
8.51358501e-01 3.85451602e-09 1.41322462e-07 1.30723753e-07
8.56195766e-01 3.87641664e-09 1.41605511e-07 1.31241612e-07
8.61033030e-01 3.89831713e-09 1.41870868e-07 1.31751834e-07
8.65870294e-01 3.92021788e-09 1.42118935e-07 1.32254585e-07
8.70707558e-01 3.94211838e-09 1.42350136e-07 1.32750044e-07
8.75544822e-01 3.96401938e-09 1.42564910e-07 1.33238394e-07
8.80382087e-01 3.98591962e-09 1.42763713e-07 1.33719831e-07
8.85219351e-01 4.00782011e-09 1.42947022e-07 1.34194559e-07
8.90056615e-01 4.02972086e-09 1.43115324e-07 1.34662788e-07
8.94893879e-01 4.05162187e-09 1.43269127e-07 1.35124738e-07
8.99731143e-01 4.07352236e-09 1.43408954e-07 1.35580637e-07
9.04568408e-01 4.09542312e-09 1.43535340e-07 1.36030721e-07
9.09405672e-01 4.11732361e-09 1.43648840e-07 1.36475236e-07
9.14242936e-01 4.13922436e-09 1.43750020e-07 1.36914433e-07
9.19080200e-01 4.16112524e-09 1.43839463e-07 1.37348573e-07
9.23917465e-01 4.18302586e-09 1.43917761e-07 1.37777924e-07
9.28754729e-01 4.20492661e-09 1.43985524e-07 1.38202761e-07
9.33591993e-01 4.22682685e-09 1.44043374e-07 1.38623371e-07
9.38429257e-01 4.24872785e-09 1.44091944e-07 1.39040042e-07
9.43266521e-01 4.27062809e-09 1.44131880e-07 1.39453074e-07
9.48103786e-01 4.29252871e-09 1.44163838e-07 1.39862771e-07
