#	Time	Error_of_Energy	Error_of_Position
1.65747170e+00 -1.71900317e-04 1.89614186e-04
1.66802885e+00 -1.71816178e-04 1.89569624e-04
1.67858599e+00 -1.71734043e-04 1.89511863e-04
1.68914314e+00 -1.71653854e-04 1.89452094e-04
1.69970028e+00 -1.71575553e-04 1.89409203e-04
1.71025742e+00 -1.71499085e-04 1.89388591e-04
1.72081457e+00 -1.71424396e-04 1.89372200e-04
1.73137171e+00 -1.71351434e-04 1.89346816e-04
1.74192886e+00 -1.71280152e-04 1.89306366e-04
1.75248600e+00 -1.71210499e-04 1.89251821e-04
1.76304315e+00 -1.71142430e-04 1.89191056e-04
1.77360029e+00 -1.71075899e-04 1.89138696e-04
1.78415744e+00 -1.71010865e-04 1.89110125e-04
1.79471458e+00 -1.70947284e-04 1.89094955e-04
1.80527173e+00 -1.70885116e-04 1.89077884e-04
1.81582887e+00 -1.70824323e-04 1.89049526e-04
1.82638601e+00 -1.70764866e-04 1.89006344e-04
1.83694316e+00 -1.70706709e-04 1.88950565e-04
1.84750030e+00 -1.70649816e-04 1.88890065e-04
1.85805745e+00 -1.70594153e-04 1.88838252e-04
1.86861459e+00 -1.70539687e-04 1.88809433e-04
1.87917174e+00 -1.70486386e-04 1.88795135e-04
1.88972888e+00 -1.70434219e-04 1.88781135e-04
1.90028603e+00 -1.70383156e-04 1.88758042e-04
1.91084317e+00 -1.70333167e-04 1.88721264e-04
1.92140032e+00 -1.70284225e-04 1.88670943e-04
1.93195746e+00 -1.70236302e-04 1.88611883e-04
1.94251461e+00 -1.70189371e-04 1.88553450e-04
1.95307175e+00 -1.70143408e-04 1.88509444e-04
1.96362889e+00 -1.70098387e-04 1.88487830e-04
1.97418604e+00 -1.70054284e-04 1.88476448e-04
1.98474318e+00 -1.70011076e-04 1.88463607e-04
1.99530033e+00 -1.69968739e-04 1.88441553e-04
2.00585747e+00 -1.69927253e-04 1.88406423e-04
2.01641462e+00 -1.69886596e-04 1.88358208e-04
2.02697176e+00 -1.69846747e-04 1.88300692e-04
2.03752891e+00 -1.69807686e-04 1.88241377e-04
2.04808605e+00 -1.69769394e-04 1.88191405e-04
2.05864320e+00 -1.69731851e-04 1.88162784e-04
2.06920034e+00 -1.69695040e-04 1.88150059e-04
2.07975749e+00 -1.69658943e-04 1.88141332e-04
2.09031463e+00 -1.69623542e-04 1.88127853e-04
2.10087177e+00 -1.69588821e-04 1.88104031e-04
2.11142892e+00 -1.69554763e-04 1.88067415e-04
2.12198606e+00 -1.69521352e-04 1.88018656e-04
2.13254321e+00 -1.69488573e-04 1.87961461e-04
2.14310035e+00 -1.69456412e-04 1.87902532e-04
2.15365750e+00 -1.69424854e-04 1.87851508e-04
2.16421464e+00 -1.69393883e-04 1.87819860e-04
2.17477179e+00 -1.69363488e-04 1.87806116e-04
2.18532893e+00 -1.69333654e-04 1.87799381e-04
2.19588608e+00 -1.69304369e-04 1.87791031e-04
2.20644322e+00 -1.69275620e-04 1.87774986e-04
2.21700037e+00 -1.69247394e-04 1.87747693e-04
2.22755751e+00 -1.69219680e-04 1.87708107e-04
2.23811465e+00 -1.69192467e-04 1.87657664e-04
2.24867180e+00 -1.69165742e-04 1.87600240e-04
2.25922894e+00 -1.69139495e-04 1.87542102e-04
2.26978609e+00 -1.69113715e-04 1.87491860e-04
2.28034323e+00 -1.69088392e-04 1.87459835e-04
2.29090038e+00 -1.69063516e-04 1.87446055e-04
2.30145752e+00 -1.69039077e-04 1.87440873e-04
2.31201467e+00 -1.69015064e-04 1.87436244e-04
2.32257181e+00 -1.68991470e-04 1.87426154e-04
